chapter,title,verses,type,themes
1,Los caminos de los justos y los impíos,6,wisdom,"Bendición, Compromiso, Consejería, Discipulado, Disciplina, Educación, Maligno, Dios: Conocimiento, Días festivos: año nuevo, Juicio, Ley, Obediencia, Justicia, Escrituras"
2,El reinado del Mesías,12,kingship,"Enojo, Bendición, Fe, Dios: Padre, Dios: Ira, Gobierno, Cielo, Santidad, Jesús: Resurrección, Gozo, Reino de Dios, Obediencia, Persecución, Profecía: Jesús, Reverencia, Servicio, Sumisión, Sabiduría"
3,Un clamor al Señor en tiempos difíciles,8,lament,"Seguridad, Bendición, Ánimo, Aliento, Maligno, Fe, Gloria, Dios: Fidelidad, Dios: Gracia, Dios: Providencia, Santidad, Persecución, Oración: Petición, Salvación"
4,Seguridad en el Señor,8,lament,"Alcohol, Enojo, Seguridad, Aliento, Fe, Dios: Fidelidad, Dios: Gracia, Santidad, Honestidad, Honor, Gozo, Paz, Oración, Justicia, Día de reposo, Sacrificio, Pecado, Estrés, Adoración"
5,Una oración pidiendo guía y protección,12,lament,"Bendición, Maligno, Fe, Dios: Gracia, Dios: Amor, Dios: Providencia, Dios: Ira, Dolor, Orientación, Culpa, Santidad, Honestidad, Gozo, Música, Obediencia, Paciencia, Persecución, Oración, Oración: Petición, Orgullo, Reverencia, Justicia, Sacrificio, Discurso, Tabernáculo, Vigilancia, Adoración"
6,Una petición de perdón y liberación,10,lament,"Muerte, Disciplina, Maligno, Fe, Dios: Fidelidad, Dios: Gracia, Dios: Amor, Dios: Misericordia, Dios: Ira, Dolor, Sanidad, Honor, Paciencia, Oración: Petición, Salvación"
7,Una oración para ser librado de los enemigos,17,lament,"Carácter, Maligno, Fe, Dios: Ira, Honestidad, Juicio, Música, Persecución, Oración: Petición, Arrepentimiento, Justicia, Salvación, Gratitud, Violencia, Adoración"
8,How Majestic Is Your Name,9,hymn,"Adoración, Creación, Gloria"
9,I Will Recount Your Wonderful Deeds,20,thankfulness,"Gratitud, Justicia, Juicio"
10,Why Do You Hide Yourself?,18,lament,"Injusticia, Oración: Petición, Maligno"
11,Psalm 11,65,lament,"Persecución, Disciplina"
12,Psalm 12,47,wisdom,"Dios: Amor, Muerte, Profecía: Jesús, Pacto"
